id,contract_reference,area,scenario,starting_state,user_actions,expected_visible_behavior,expected_backend_behavior,recovery_expectation,evidence_source,status,severity_if_failed,automated_regression,execution_class,phase_24_defer_note,bug_id,source_sha,deployed_sha,fixture_version,account_alias,timezone,device_runtime_viewport,observed_result,last_executed_at
WEIGHT-001,weight-local-day,Weight,local-date edit trend,QA A,add/edit/delete today/old weight,dates local and trends correct,analytics reads saved values,cancel/retry,API weight-log coverage green; QA A staging reversible create/read/update/read/delete/post-delete and QA B ownership 404 probe recorded in ENV-WEIGHT-001; real Simulator add/edit observed,PASS-SIMULATOR,P1,weight tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A opened Log weight, saved 180.9 lb for 2026-09-11, reopened the real edit form, changed it to 181.0 lb, saved, and observed Progress display 181.0 lb with the editable weight action still reachable. API CRUD/ownership evidence remains in ENV-WEIGHT-001; old-day grouping and delete remain in the final critical re-sweep.",
AN-001,analytics-unknowns,Analytics,complete partial missing unknown,seed sparse logs,open calories/macros/nutrients,unknown/unlogged/partial distinct and no fake ranges,source observations remain missing,loading/error retry,API analytics state and aggregation coverage green; QA A staging advanced/Insights/streak/daily-nutrient response evidence recorded in ENV-ANALYTICS-001; real Simulator sparse/partial/unknown states observed,PASS-SIMULATOR,P0,analytics tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A Insights showed recorded calories/protein/macros, partial-period copy (`Today is still in progress`), nutrient highlights with Fiber `Near goal`, Sodium `Within limit`, and Vitamin C `Unavailable` while retaining its partial numeric value and reference detail; hydration and weight sections remained present. This preserves partial/unknown semantics rather than coercing missing values to zero. QA A then opened the real Progress Logging consistency trend after scrolling the Progress view, observed 90% coverage with distinct Complete, Partial, Unlogged, and In progress categories, and returned through Back from Trends. Loading/error retry and final critical re-sweep remain.",2026-09-12
AN-002,analytics-unknowns,Analytics,ranges comparisons saved pinned views,seed dates,select custom ranges compare save pin,reports use exact filters and persist view,saved/pinned state survives reload,no stale late response,API analytics range comparison and saved-view coverage green; real Simulator comparison and custom-name update journeys observed,PASS-SIMULATOR,P1,analytics tests plus save-view.test.tsx and trend-detail.test.tsx,simulator,,,ANALYTICS-SAVED-VIEW-001;ANALYTICS-COMPARE-001,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A observed Month reports, Explore trends, a 3-day custom range applied to Sep 9–11, Calories recorded/partial/unlogged coverage, Saved Views pin persistence after relaunch, custom rename persistence after relaunch, and Update existing retaining `Calories QA` after a comparison change. The Compare route now exposed Calories + Sugar, dual-axis copy, both legends, and a Calories-and-Sugar comparison target after the minimal renderer fix. Broader saved-view stale-response coverage remains automated/API.",2026-09-11
AN-003,analytics-unknowns,Analytics,forecast eligibility,insufficient and sufficient data,open forecast,deterministic forecast only when eligible,no LLM prose/no fabricated range,empty/retry,API forecast policy and forecast coverage green; Simulator UI exercised,PASS-SIMULATOR,P1,forecast tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A Simulator Calories trend showed recorded history and the explicit `Calorie forecast` state: insufficient recent complete-day coverage was explained and no future line was fabricated. Deterministic/API eligibility coverage remains green; no LLM prose was used.",2026-09-12
RECO-001,recommendations,Recommendations,facts dismissal local day,seed logs/targets,generate dismiss relaunch/change state,bounded deterministic recommendations stable IDs,dismissal local-day behavior persists,retry/relaunch,"API recommendation engine and route coverage green; real QA A Simulator Recommendations tab showed three active recommendations, dismissal reduced the count to two, and terminate/relaunch preserved the dismissed state",PASS-SIMULATOR,P1,recommendation tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A observed three active recommendations, dismissed one, saw the count reduce to two, terminated/relaunched the app, and observed the dismissed state persisted. Local-day variation across timezone boundaries remains pending.",2026-09-11
TIME-001,utc-local-day,Time,UTC storage local day,QA A timezone configured,log around midnight inspect History/analytics,grouping and dismissal use user-local day,UTC storage unchanged/local-day grouping,refresh/relaunch,API date and logging-day coverage green; Simulator UI exercised,PASS-SIMULATOR,P0,date tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A Simulator History/Progress date controls moved from Today to Friday, September 11 with Previous day and exposed Return to today; the selected local tracking day and its seeded entries rendered consistently. UTC persistence/date-boundary calculations remain covered by API tests; a physical wall-clock boundary remains outside Simulator evidence.",2026-09-12
FAIL-001,failure-recovery,Recovery,API unavailable and slow,staging or controlled failure,load save retry,not crash/no infinite loading/useful error,no duplicate mutation,retry succeeds after restore,mobile API retry/error coverage plus controlled QA A Simulator outage and retry,PASS-SIMULATOR,P0,recovery tests,simulator,,,,,,,,,"With the local API stopped before relaunch, the authenticated QA A Simulator showed the recoverable We couldn't load your account state with Try again and Sign out and no crash. After the API restarted, tapping Try again restored the authenticated Progress route with no mutation or duplicate request observed.",2026-09-12
FAIL-002,failure-recovery,Recovery,late stale response,controlled delayed requests,change filters/submit twice,latest request wins and old response ignored,no stale persisted state,cancel/retry,mobile request-generation and stale-response reducer coverage green; controlled real UI delay pending,PASS-AUTOMATED,P1,stale response tests,simulator,,,,,,,,,"Automated contract coverage passed. A real QA A Simulator trend route rapidly changed 7D then 90D selectors; the settled report matched the final 90D range (Jun 15 – Sep 12, 83 recorded days) with no visible stale 7D state. This is supplemental rapid-transition evidence, not a substitute for a controlled delayed-response injection; the latter remains automated-only.",2026-09-12
NAV-001,navigation-recoverability,Navigation,launcher deep link back cancel,app launched from each major entry,open/back/cancel across flows,all required actions reachable,no trapped modal,state remains recoverable,Mobile auth-routing and onboarding-navigation contract coverage green; saved-views back-action regression added; broader launcher/deep-link/back/cancel sweep remains pending,PASS-SIMULATOR,P1,navigation tests,simulator,,,,,,,,,"QA A Metro-reloaded Simulator exposed Back to Insights on Manage Saved Views and returned to Explore trends. Additional QA A checks opened and closed the logging menu without mutation, opened Goal plan and returned via Back, moved History Previous day to Friday Sep 11 then Next day back to Today with Return to today available, and opened the Food Log modal then used its Close control to return to Progress without saving. Repeated stop/launch returned authenticated Progress, and Profile Goal plan/targets Back controls remained reachable on 2026-09-12. On 2026-09-12, Insights Explore trends opened from the Insights tab; Calories trend opened, 30D→7D→90D selectors changed the displayed ranges (Sep 6–12, Jun 15–Sep 12), Back from Trends returned to Explore, and Back to Insights returned to the Insights report. The logging menu then opened from Progress; Log water opened its sheet and Close returned without mutation, and Log weight opened its form and Close returned without mutation. Streak calendar opened from Progress, rendered past/gold/partial/missed/today/future day states, Previous month moved to August 2026, Next month returned to September 2026, and Back returned to Progress. Logging Consistency Trend opened from Progress with complete/partial/unlogged/in-progress coverage and Back returned to Progress. Profile Delete account opened its irreversible warning on QA A; scrolling exposed Continue and Cancel, and Cancel returned to the editable Profile without sign-out or mutation. The wider launcher/deep-link/back/cancel family remains pending.",2026-09-12
COLD-001,staging-cold-start,Staging,Railway scale-to-zero,verified staging deployment f522fae3-825e-425c-810d-344fc850db6d from exact archive of 14c0472c1aeb59abe75e4f0cf8507dd70e74a98a,allow API and DB to sleep then launch the staging-target Simulator app without a warm-up,API-only probe returned 200 after 5.490 seconds and the end-to-end run logged Stopping Container at 13:02:08 then returned the first app-triggered 401 at 13:02:58 while the Simulator reached signed-out Welcome back,request reached the verified deployment and the app recovered to a usable signed-out state,no artificial warm-up and retry after controlled delay,staging deployment logs plus HTTP logs plus staging Metro and Simulator snapshot,PASS-STAGING-SIMULATOR,P0,staging smoke,Simulator+API,signed-out staging-target cold launch proven; authenticated cold launch still requires QA credentials,,14c0472c1aeb59abe75e4f0cf8507dd70e74a98a,f522fae3-825e-425c-810d-344fc850db6d,,,,,Signed-out staging-target Simulator cold launch recovered to a usable UI after sleep.,
SEC-001,account-isolation,Isolation,QA A to QA B,QA A recognizable data,sign out sign in B,nothing A-owned appears,server ownership enforced,sign out/retry,"API FoodLog/FoodItem ownership isolation and cross-user rejection coverage green; QA A→B UI observed",PASS-SIMULATOR,P0,isolation tests,simulator,,,,,,QA-A->QA-B,,,"Observed QA A sign-out then QA B sign-in; Progress showed no food/weight data, History showed no food entries, Insights showed 0 logged days, and relaunch returned to QA B home; API cross-owner probes remained 404.",2026-09-11
SEC-002,account-isolation,Isolation,QA C deletion only,QA C explicitly disposable,delete permanently,only C deleted and post-delete signed out,A/B untouched,confirmation/recovery; QA C identity verified before destructive action,"API deletion cleanup and stale-auth authorization coverage green; QA C authenticated; current-password reauthentication and signed-out routing observed",PASS-SIMULATOR,P0,deletion tests,simulator,,,,,,QA-C,,,"QA C was independently recognizable and UID-verified before deletion; only disposable C was permanently deleted, signed out, and routed to the signed-out screen; A/B remain untouched.",2026-09-12
PHYS-001,physical-device,Physical,device-sensitive acceptance,Simulator critical matrix green,user performs camera/barcode/photos/permissions/touch/launch checklist,device behavior observed and documented,no production mutation,user reports result,physical checklist,BLOCKED,P1,manual only,physical,requires user-operated iPhone and green Simulator prerequisite,,,,,,,,User-owned physical-device acceptance remains pending.,
AUTH-010,auth-bootstrap,Auth,stale token cleanup rejection,signed-out Simulator after Firebase user absence,launch and allow token refresh cleanup,usable signed-out screen and no uncaught promise overlay,server session cleanup remains best effort and no data mutation,sign out or retry remains available,auth bootstrap Jest regression plus Metro logs plus Simulator screenshot,PASS-SIMULATOR,P1,auth-bootstrap.test.tsx,Simulator+Jest,,AUTH-BOOTSTRAP-001,22d73d7,,,none,America/Toronto,iPhone 17 Pro Max iOS 27,Red test reproduced unhandled AuthServiceError; catch fix passed and fresh Metro rerun emitted no AuthServiceError; excluded notification entitlement warning remains,2026-09-10
NAV-002,deep-link-recoverability,Navigation,authenticated major deep links and exits,QA A authenticated in Complex mode,open recipes saved-views nutrition-targets water-log and weight-log deep links; inspect; use close/back,each supported route reaches its intended screen with visible controls and no stale overlay,route exits return to Progress or parent without mutation and relaunch clears transient route state,close/back; relaunch clears transient route state,deep-link xcrun simctl openurl plus XcodeBuildMCP snapshots/actions,PASS-SIMULATOR,P1,navigation tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Recipes, saved views, Nutrition Targets, Water Log, and Weight Log deep links were opened on the real QA A Simulator. Recipes loaded the seeded QA Regression recipe after using the canonical /recipes path (the /recipes/index URL is not the canonical index link); recipe detail and saved-view Compare both returned via Close/Back. Nutrition Targets showed Personalized/Derived/Recommended values; Water Log and Weight Log exposed their forms and closed without mutation. Relaunch returned authenticated Progress and cleared transient route state. Wider launcher/deep-link family remains pending.",2026-09-13
NAV-003,keyboard-reachability,Navigation,recipe editor cancel with keyboard visible,QA A authenticated in Complex mode,open recipes/editor while Name field is focused; activate native keyboard; tap Close recipe editor,Close remains reachable above the keyboard and returns to Progress without creating a recipe,no draft recipe or backend mutation; relaunch remains authenticated,close/cancel; relaunch remains authenticated,real Simulator snapshot and XcodeBuildMCP tap evidence,PASS-SIMULATOR,P1,navigation tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,The recipes/editor deep link opened with the Name field focused and the native keyboard visible. The real Simulator exposed Close recipe editor above the keyboard; tapping it returned to authenticated Progress with zero new food entries and no recipe mutation.,2026-09-13
RESWEEP-001,critical-journey-resweep,Cross-feature,authenticated Progress→History→Insights→Profile continuity,QA A authenticated Complex after deep-link checks,open Progress; inspect today; switch History Friday; open Insights; open Profile,today empty state is coherent; Friday recognizes seeded history; Insights reports coverage and analytics; Profile retains Complex/Lose/0.55 targets,same QA A resources and target context are read from canonical backend; no route mutation,tabs and date navigation remain usable; relaunch remains authenticated,real iOS Simulator snapshots and tab/date actions,PASS-SIMULATOR,P0,critical journey tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh QA A re-sweep observed Today with 0 food entries and explicit empty-state copy, switched to Friday September 11 with 8 entries/172 kcal, opened Insights showing Sep 6–12 with 5 logged days and partial-day messaging, and opened Profile showing Complex mode, Lose 0.55 lb/week, 2,320 kcal and 153.7 g protein. No mutation or routing error occurred. Final full critical re-sweep remains pending.",2026-09-13
RESWEEP-002,critical-journey-resweep,Cross-feature,History edit cancel then Progress Insights Profile continuity,QA A authenticated Complex on History with Friday seed,open a Friday FoodLog edit and close without saving; visit Progress; visit Insights; visit Profile,History edit exposes serving/unit and Save/Log/Delete recovery controls; Close returns to History; Progress/Insights/Profile remain reachable and coherent,no FoodLog or target mutation; QA A ownership and mode remain unchanged,reopen/relaunch returns to authenticated Progress,real iOS Simulator snapshots and XcodeBuildMCP tap evidence,PASS-SIMULATOR,P0,critical journey tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A opened the Friday `QA Archive Probe` FoodLog editor, observed serving amount/unit controls plus Save changes, Log again, Delete, and Close actions, then closed without saving. Progress loaded with Complex mode and streak/trend controls; Insights loaded with Week/Month reports and Explore all trends; Profile loaded with Simple/Complex controls, target editor, and Review goal plan. No mutation, stale overlay, or routing error was observed.",2026-09-12
RESWEEP-003,critical-journey-resweep,Auth,post-resweep cold relaunch persistence,QA A authenticated Complex after RESWEEP-002,stop the installed app; launch again; wait for settled UI,authenticated Complex Progress returns after bootstrap with no sign-in loop or transient overlay,canonical QA A session and profile state remain available with no new mutation,repeat stop/launch remains recoverable,real iOS Simulator stop/launch plus wait_for_ui snapshot,PASS-SIMULATOR,P0,critical journey tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"After the critical continuity pass, the installed QA A app was stopped and relaunched through XcodeBuildMCP. The initial transient snapshot settled to authenticated Complex Progress with streak/trend controls and no sign-in loop, crash, stale overlay, or data mutation.",2026-09-12
LOG-003,food-logging,navigation,normal food form keyboard close recovery,QA A authenticated Complex Progress,open Log food from the logging menu with the keyboard visible; close without saving,Food details form exposes editable food/calorie/protein fields and Close remains reachable; closing returns to Progress without a trapped overlay,no FoodLog mutation or duplicate save; canonical QA A session remains intact,close and relaunch recover to Progress,real iOS Simulator plus host-window accessibility/screenshot evidence,PASS-SIMULATOR,P1,food logging tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"QA A opened the real Log food form from the logging menu; the keyboard was visible while Food details and editable fields were shown. Host-window accessibility located the form Close control, which returned to Progress without saving, duplicate mutation, or a stale overlay.",2026-09-12
COLD-002,staging-cold-start,Staging,current debugging-candidate deployment provenance and authenticated cold start,committed debugging-branch candidate 27bde59; existing service currently reports failed deployment and SFO peak window,deploy exact candidate to existing staging only; verify served SHA; allow scale-to-zero; launch staging-target Simulator without warm-up; exercise authenticated QA A flow,served revision matches 27bde59 and authenticated cold launch recovers without crash/loop or data corruption,no production action or data mutation; preserve prior deployment evidence if blocked,retry only after Railway availability and provenance are verified,staging deployment logs plus Railway provenance plus staging-target Simulator,BLOCKED,P0,staging smoke,Simulator+API,staging-only current-candidate gate; execution blocked by Railway peak-window/failed-deployment availability,,27bde59,,none,,,,Current candidate cannot be deployed during the verified SFO peak window; no served SHA or authenticated current-candidate cold-start evidence is inferred.,2026-09-12
